parent_directory,is_file,name,size_in_bytes
C:\Users\ÿ\Desktop\python_home_work\home_works_8,False,package_work_fails,2677
C:\Users\ÿ\Desktop\python_home_work\home_works_8\package_work_fails,True,task_8_2.py,2677
C:\Users\ÿ\Desktop\python_home_work\home_works_8\package_work_fails,True,_init_.py,0
C:\Users\ÿ\Desktop\python_home_work\lessons,True,less_04.py,7076
C:\Users\ÿ\Desktop\python_home_work\lessons,True,less_6.py,10
C:\Users\ÿ\Desktop\python_home_work\lessons,True,les_5.py,4727
C:\Users\ÿ\Desktop\python_home_work\lesson_3,True,pr2.py,717
C:\Users\ÿ\Desktop\python_home_work\lesson_3,True,practice.py,654
C:\Users\ÿ\Desktop\python_home_work\lesson_3,True,tasks.py,7390
C:\Users\ÿ\Desktop\python_home_work\less_8_all,True,less_8.py,0
C:\Users\ÿ\Desktop\python_home_work\venv,True,.gitignore,42
C:\Users\ÿ\Desktop\python_home_work\venv,True,pyvenv.cfg,398
C:\Users\ÿ\Desktop\python_home_work\venv,False,Lib,11992149
C:\Users\ÿ\Desktop\python_home_work\venv,False,Scripts,1410227
C:\Users\ÿ\Desktop\python_home_work\venv\Lib,False,site-packages,11992149
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages,True,distutils-precedence.pth,151
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages,True,pip-22.3.1.virtualenv,0
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages,True,setuptools-65.5.1.virtualenv,0
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages,True,wheel-0.38.4.virtualenv,0
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages,True,_virtualenv.pth,18
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages,True,_virtualenv.py,5770
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages,False,pip,6847400
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages,False,pip-22.3.1.dist-info,76670
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages,False,pkg_resources,1862509
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages,False,setuptools,3027307
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages,False,setuptools-65.5.1.dist-info,45895
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages,False,wheel,95910
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages,False,wheel-0.38.4.dist-info,6262
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages,False,_distutils_hack,17336
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages,False,__pycache__,6921
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip,True,py.typed,286
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip,True,__init__.py,357
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip,True,__main__.py,1198
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip,True,__pip-runner__.py,1444
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip,False,_internal,1035611
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip,False,_vendor,5808504
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal,True,build_env.py,10234
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal,True,cache.py,10734
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal,True,configuration.py,13529
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal,True,exceptions.py,20942
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal,True,main.py,340
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal,True,pyproject.py,7074
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal,True,self_outdated_check.py,8020
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal,True,wheel_builder.py,13079
